Kanji,Onyomi,English
会う,あう, to meet
青,あお, blue
青い,あおい, blue
赤,あか, red
赤い,あかい, red
明るい,あかるい, bright
秋,あき,autumn/ fall
空く,あく, empty
開く,あく, to open (e.g. doors)
上げる,あげる, to increase price/quality/status
朝,あさ, morning
朝ご飯,あさごはん,breakfast
明後日,あさって, day after tomorrow
足,あし, foot
明日,あした, tomorrow
彼処,あそこ, over there
遊ぶ,あそぶ, to play
温かい,あたたかい, warm
頭,あたま,head
新しい,あたらしい,new
彼方,あちら, that way
暑い,あつい, hot
後,あと, after
貴方,あなた, you
兄,あに, older brother
姉,あね, older sister
彼の,あの,that/ those
,あの,say; well/ um/ er
,アパート, apartment building
浴びる,あびる,to shower
危ない,あぶない, dangerous
甘い,あまい, sweet-tasting
余り,あまり, remainder
雨,あめ, rain
飴,あめ, sweet (like candy)
洗う,あらう, to wash
有る,ある, to be
歩く,あるく,to walk
彼,あれ, that (over there)
,いいえ, no
言う,いう,to say
行く,いく,to go
幾つ,いくつ, how many
幾ら,いくら, how much
池,いけ,pond
医者,いしゃ,doctor
椅子,いす, chair
忙しい,いそがしい, busy
痛い,いたい, painful
一,いち, one
一日,いちにち, one day
一番,いちばん, number one
一緒,いっしょ, (doing) together
何時,いつ, when
５日,いつか, 5th day of the month
五つ,いつつ, five
何時も,いつも, always
犬,いぬ, dog
今,いま, now
意味,いみ,meaning
妹,いもうと,younger sister
嫌,いや, disliking
入り口,いりぐち,entrance
居る,いる, to be (of animate objects)
要る,いる,to be needed
入れる,いれる,to enter
色,いろ,color
色々,いろいろ, various
上,うえ,above
後ろ,うしろ,back
薄い,うすい, thin (of an object)
歌,うた, song
歌う,うたう, to sing
生まれる,うまれる,to be born
海,うみ,sea
売る,うる, to sell
煩い,うるさい, noisy
上着,うわぎ, coat/jacket
映画,えいが,movie
映画館,えいがかん,movie theatre
英語,えいご,English (language)
,ええ, yes
駅,えき, railway station
,エレベーター, elevator
鉛筆,えんぴつ,pencil
美味しい,おいしい, good(-tasting)
多い,おおい, many
大きい,おおきい, big
大きな,おおきな,big
大勢,おおぜい, crowd of people
お母さん,おかあさん, mother
家,いえ, house
